Title,Director,IMdB Rating,Rating,Runtime,Release Date,Genre,Genre2,Genre3,Genre4,Genre5,Genre6,Actor,Actor7,Actor8,Actor9,Writer,Writer10,Writer11,Writer12,Writer13,Writer14,Writer15,Writer16,Writer17,,,
Blade: Trinity,David S. Goyer,5.9,R,113 min,8-Dec-04,Action, Adventure, Horror, Sci-Fi, Thriller,,Wesley Snipes, Kris Kristofferson, Dominic Purcell, Jessica Biel,David S. Goyer, Marv Wolfman (character), Gene Colan (character),,,,,,,,,
Geostorm,Dean Devlin,5.3,PG-13,109 min,20-Oct-17,Action, Sci-Fi, Thriller,,,,Gerard Butler, Jim Sturgess, Abbie Cornish, Alexandra Maria Lara,Dean Devlin, Paul Guyot,,,,,,,,,,
Grown Ups 2,Dennis Dugan,5.4,PG-13,101 min,12-Jul-13,Comedy,,,,,,Adam Sandler, Kevin James, Chris Rock, David Spade,Fred Wolf, Adam Sandler, Tim Herlihy, Adam Sandler (based on characters created by), Fred Wolf (based on characters created by),,,,,,,
Swordfish,Dominic Sena,6.5,R,99 min,8-Jun-01,Action, Crime, Thriller,,,,John Travolta, Hugh Jackman, Halle Berry, Don Cheadle,Skip Woods,,,,,,,,,,,
Kindergarten Cop 2,Don Michael Paul,4.5,PG-13,100 min,18-May-16,Action, Comedy,,,,,Dolph Lundgren, Darla Taylor, Bill Bellamy, Aleks Paunovic,David H. Steinberg (screenplay), Timothy Harris (based on the film written by), Murray Salem (based on the film written by), Murray Salem (story), Herschel Weingrod (based on the film written by),,,,,,,
Teen Witch,Dorian Walker,6.2,PG-13,90 min,28-Apr-89,Comedy, Fantasy, Romance,,,,Robyn Lively, Dan Gauthier, Joshua John Miller, Caren Kaye,Robin Menken, Vernon Zimmerman,,,,,,,,,,
Murder at 1600,Dwight H. Little,6.1,R,107 min,18-Apr-97,Action, Crime, Drama, Mystery, Thriller,,Wesley Snipes, Diane Lane, Daniel Benzali, Dennis Miller,Wayne Beach, David Hodgin,,,,,,,,,,
The Butterfly Effect,Eric Bress,7.7,R,113 min,23-Jan-04,Drama, Sci-Fi, Thriller,,,,Ashton Kutcher, Melora Walters, Amy Smart, Elden Henson,J. Mackye Gruber, Eric Bress,,,,,,,,,,
Body Parts,Eric Red,5.5,R,88 min,2-Aug-91,Horror, Thriller,,,,,Jeff Fahey, Lindsay Duncan, Kim Delaney, Zakes Mokae,Pierre Boileau (novel), Thomas Narcejac (novel), Patricia Herskovic (screen story), Joyce Taylor (screen story), Eric Red (screenplay),,,,,,,
Evilspeak,Eric Weston,5.7,R,97 min,26-Feb-82,Drama, Horror,,,,,Clint Howard, R.G. Armstrong, Joe Cortese, Claude Earl Jones,Joseph Garofalo (screenplay), Eric Weston (screenplay), Joseph Garofalo (story),,,,,,,,,
Surviving the Game,Ernest R. Dickerson,6.1,R,96 min,15-Apr-94,Action, Adventure, Crime, Drama, Thriller,,Ice-T, Rutger Hauer, Charles S. Dutton, Gary Busey,Eric Bernt,,,,,,,,,,,
"Hail, Caesar!",Ethan Coen,6.3,PG-13,106 min,5-Feb-16,Comedy, Mystery,,,,,Josh Brolin, George Clooney, Alden Ehrenreich, Ralph Fiennes,Joel Coen, Ethan Coen,,,,,,,,,,
The Fate of the Furious,F. Gary Gray,6.7,PG-13,136 min,14-Apr-17,Action, Crime, Thriller,,,,Vin Diesel, Jason Statham, Dwayne Johnson, Michelle Rodriguez,Gary Scott Thompson (based on characters created by), Chris Morgan,,,,,,,,,,
Constantine,Francis Lawrence,7,R,132 min,18-Feb-05,Action, Fantasy, Horror, Mystery,,,Keanu Reeves, Rachel Weisz, Shia LaBeouf, Djimon Hounsou,Jamie Delano (comic book &quot;Hellblazer&quot;), Garth Ennis (comic book &quot;Hellblazer&quot;), Kevin Brodbin (story), Kevin Brodbin (screenplay), Frank A. Cappello (screenplay),,,,,,,
It's a Wonderful Life,Frank Capra,8.6,PG,130 min,7-Jan-47,Drama, Family, Fantasy,,,,James Stewart, Donna Reed, Lionel Barrymore, Thomas Mitchell,Frances Goodrich (screenplay), Albert Hackett (screenplay), Frank Capra (screenplay), Jo Swerling (additional scenes), Philip Van Doren Stern (story),,,,,,,
