Title,Director,Director2,Episode,IMDb,Rating,Runtime,Release Date,Genre,Genre3,Genre4,Genre5,Genre6,Genre7,Actor,Actor8,Actor9,Actor10,Writer,Writer11,Writer12,Writer13,,,,,
Tooth Fairy 2,Alex Zamm,,94,3.9,PG,90,2012-03-06,Comedy, Family,,,,,Larry the Cable Guy, David Mackey, Erin Beute, John Connon,Ben Zazove,,,,,,,,
This Means War,McG,,95,6.3,PG-13,103,2012-02-17,Action, Comedy, Romance,,,,Reese Witherspoon, Chris Pine, Tom Hardy, Til Schweiger,Timothy Dowling screenplay, Simon Kinberg screenplay, Timothy Dowling story, Marcus Gautesen story,,,,,
On Deadly Ground,Steven Seagal,,96,4.5,R,101,1994-02-18,Action, Adventure, Thriller,,,,Steven Seagal, Michael Caine, Joan Chen, John C. McGinley,Ed Horowitz, Robin U. Russin,,,,,,,
Tuff Turf,Fritz Kiersch,,97,6.2,R,112,1985-01-11,Action, Drama,,,,,James Spader, Kim Richards, Paul Mones, Matt Clark,Jette Rinck screenplay, Greg Collins O'Neill story, Murray Michaels story,,,,,,
Aspen Extreme,Patrick Hasburgh,,98,5.9,PG-13,113,1993-01-22,Drama, Romance, Sport,,,,Paul Gross, Peter Berg, Finola Hughes, Teri Polo,Patrick Hasburgh,,,,,,,,
Freejack,Geoff Murphy,,99,5.3,R,110,1992-01-17,Action, Crime, Sci-Fi, Thriller,,,Emilio Estevez, Mick Jagger, Rene Russo, Anthony Hopkins,Robert Sheckley novel, Steven Pressfield screen story, Ronald Shusett screen story, Steven Pressfield screenplay,,,,,
Taking Care of Business,Arthur Hiller,,100,6.4,R,108,1990-08-17,Comedy,,,,,,Jim Belushi, Charles Grodin, Anne De Salvo, Loryn Locklin,Jill Mazursky, J.J. Abrams,,,,,,,
The Pallbearer,Matt Reeves,,101,4.9,PG-13,98,1996-05-03,Comedy, Romance,,,,,David Schwimmer, Gwyneth Paltrow, Michael Rapaport, Toni Collette,Jason Katims, Matt Reeves,,,,,,,
Batman Forever,Joel Schumacher,,102,5.4,PG-13,121,1995-06-16,Action, Adventure, Fantasy,,,,Val Kilmer, Tommy Lee Jones, Jim Carrey, Nicole Kidman,Bob Kane characters, Lee Batchler story, Janet Scott Batchler story, Lee Batchler screenplay,,,,,
Cat People,Paul Schrader,,104,6.1,R,118,1982-04-02,Fantasy, Horror, Thriller,,,,Nastassja Kinski, Malcolm McDowell, John Heard, Annette O'Toole,DeWitt Bodeen story, Alan Ormsby screenplay,,,,,,,
Addicted to Love,Griffin Dunne,,105,6.1,R,100,1997-05-23,Comedy, Romance,,,,,Meg Ryan, Matthew Broderick, Kelly Preston, Tchéky Karyo,Robert Gordon,,,,,,,,
Virtuosity,Brett Leonard,,106,5.6,R,106,1995-08-04,Action, Crime, Sci-Fi, Thriller,,,Denzel Washington, Kelly Lynch, Russell Crowe, Stephen Spinella,Eric Bernt,,,,,,,,
Walking Tall,Phil Karlson,,107,7,R,125,1973-02-22,Action, Crime, Drama,,,,Joe Don Baker, Elizabeth Hartman, Leif Garrett, Dawn Lyn,Mort Briskin, Stephen Downing,,,,,,,
The Mating Habits of the Earthbound Human,Jeff Abugov,,108,6.4,R,88,1999-09-03,Comedy, Sci-Fi,,,,,David Hyde Pierce, Mackenzie Astin, Carmen Electra, Markus Redmond,Jeff Abugov,,,,,,,,
The Boondock Saints II: All Saints Day,Troy Duffy,,109,6.3,R,118,2009-12-11,Action, Crime, Thriller,,,,Sean Patrick Flanery, Norman Reedus, Billy Connolly, Clifton Collins Jr.,Troy Duffy screenplay, Troy Duffy story, Taylor Duffy story,, Lawrence Kasanoff screenplay,,,,
Foodfight!,Lawrence Kasanoff,,110,1.8,PG,91,2013-02-12,Animation, Action, Comedy, Family, Fantasy, Mystery, Sci-Fi,Charlie Sheen, Hilary Duff, Eva Longoria, Wayne Brady,Lawrence Kasanoff story, Joshua Wexler story, Brent V. Friedman screenplay,,,,,
Houseguest,Randall Miller,,111,6,PG,113,1995-01-06,Comedy,,,,,,Sinbad, Phil Hartman, Kim Greist, Kim Murphy,Michael J. Di Gaetano, Lawrence Gay,,,,,,,
Maniac Cop 3: Badge of Silence,William Lustig,,112,4.9,R,85,1993-07-07,Action, Horror,,,,,Robert Davi, Robert Z'Dar, Caitlin Dulany, Gretchen Becker,Larry Cohen characters, Larry Cohen,,,,,,,
Godzilla,Gareth Edwards,,113,6.4,PG-13,123,2014-05-16,Action, Adventure, Sci-Fi, Thriller,,,Aaron Taylor-Johnson, CJ Adams, Ken Watanabe, Bryan Cranston,Max Borenstein screenplay, Dave Callaham story, Ishirô Honda based on the character created by, Takeo Murata based on the character created by,,,,,
Steel,Kenneth Johnson,,114,2.8,PG-13,97,1997-08-15,Action, Crime, Sci-Fi,,,,Shaquille O'Neal, Annabeth Gish, Judd Nelson, Richard Roundtree,Louise Simonson comic book series, Jon Bogdanove comic book series, Kenneth Johnson,,,,,,
Bad Boys II,Michael Bay,,115,6.6,R,147,2003-07-18,Action, Comedy, Crime, Drama, Thriller,,Martin Lawrence, Will Smith, Jordi Mollà, Gabrielle Union,George Gallo characters, Marianne Wibberley story, Cormac Wibberley story, Ron Shelton story,,,,,
S.W.A.T.,Clark Johnson,,117,6,PG-13,117,2003-08-08,Action, Adventure, Crime, Thriller,,,Samuel L. Jackson, Colin Farrell, Michelle Rodriguez, LL Cool J,Robert Hamner characters, Ron Mita story, Jim McClain story, David Ayer screenplay,,,,,
The Running Man,Paul Michael Glaser,,118,6.7,R,101,1987-11-13,Action, Sci-Fi, Thriller,,,,Arnold Schwarzenegger, Maria Conchita Alonso, Yaphet Kotto, Jim Brown,Stephen King novel, Steven E. de Souza screenplay,,,,,,,
Volcano,Mick Jackson,,119,5.5,PG-13,104,1997-04-25,Action, Drama, Sci-Fi, Thriller,,,Tommy Lee Jones, Anne Heche, Gaby Hoffmann, Don Cheadle,Jerome Armstrong story, Jerome Armstrong screenplay, Billy Ray screenplay,,,,,,
She's All That,Robert Iscove,,120,5.9,PG-13,95,1999-01-29,Comedy, Romance,,,,,Freddie Prinze Jr., Rachael Leigh Cook, Matthew Lillard, Paul Walker,R. Lee Fleming Jr.,,,,,,,,
Grown Ups 2,Dennis Dugan,,121,5.4,PG-13,101,2013-07-12,Comedy,,,,,,Adam Sandler, Kevin James, Chris Rock, David Spade,Fred Wolf, Adam Sandler, Tim Herlihy, Adam Sandler based on characters created by,,,,,
Only the Strong,Sheldon Lettich,,122,6.7,PG-13,99,1993-08-27,Action, Drama,,,,,Mark Dacascos, Stacey Travis, Geoffrey Lewis, Paco Christian Prieto,Sheldon Lettich, Luis Esteban,,,,,,,
